"","CELL_PERC_DW.13.comps"
"Wave_1354",7.98874724937237
"Wave_1355",8.63909942051538
"Wave_1356",9.12602782550238
"Wave_1357",9.32223889872801
"Wave_1358",9.83344980183857
"Wave_1359",10.7973242832077
"Wave_1360",11.689916195357
"Wave_1361",12.3335164885328
"Wave_1362",13.0256994266802
"Wave_1363",13.6471242979511
"Wave_1364",13.9655456337476
"Wave_1365",14.2587983640649
"Wave_1366",14.5990881990647
"Wave_1367",14.9776942356747
"Wave_1368",15.286207640019
"Wave_1369",15.3564646049722
"Wave_1370",15.5113563873818
"Wave_1371",15.7457427784853
"Wave_1372",15.4867759106515
"Wave_1373",15.2405179694285
"Wave_1374",15.3418603340448
"Wave_1375",15.0373158121066
"Wave_1376",14.5301341911262
"Wave_1377",14.2766413474248
"Wave_1378",14.104027521398
"Wave_1379",14.0178775571481
"Wave_1380",13.831702453899
"Wave_1381",13.6308318281439
"Wave_1382",13.514813681054
"Wave_1383",12.9121636768923
"Wave_1384",12.017474272133
"Wave_1385",11.3733796117327
"Wave_1386",10.8510644080165
"Wave_1387",10.3148360088046
"Wave_1388",9.39963486925671
"Wave_1389",8.65359784189866
"Wave_1390",7.90223322815778
"Wave_1391",6.57256626040569
"Wave_1392",5.46759613180484
"Wave_1393",5.0130324775615
"Wave_1394",4.14118953757842
"Wave_1395",2.77968122832462
"Wave_1396",1.68462741272758
"Wave_1397",0.599281830797707
"Wave_1398",-0.504436928252298
"Wave_1399",-1.78400498279886
"Wave_1400",-2.4519092255832
"Wave_1401",-3.47469714733933
"Wave_1402",-4.62474912874191
"Wave_1403",-5.44060493549676
"Wave_1404",-5.94105827058227
"Wave_1405",-6.09089703804908
"Wave_1406",-6.62046652539199
"Wave_1407",-7.37825148280835
"Wave_1408",-7.77902983251127
"Wave_1409",-8.29160801756963
"Wave_1410",-8.62293489549046
"Wave_1411",-8.75944469106908
"Wave_1412",-9.40286225103271
"Wave_1413",-9.95355911531341
"Wave_1414",-9.91984763162397
"Wave_1415",-9.46313292705121
"Wave_1416",-9.19504709353846
"Wave_1417",-9.28255998401166
"Wave_1418",-9.01852024178935
"Wave_1419",-8.65934636259203
"Wave_1420",-8.63581753330914
"Wave_1421",-8.61853765518291
"Wave_1422",-8.01433808178998
"Wave_1423",-7.36790777017586
"Wave_1424",-6.74618742483406
"Wave_1425",-6.31461228476012
"Wave_1426",-5.625420449323
"Wave_1427",-4.97312232611478
"Wave_1428",-4.70971451207657
"Wave_1429",-4.23223239633179
"Wave_1430",-3.13006399386541
"Wave_1431",-2.53196807785603
"Wave_1432",-2.54407241771631
"Wave_1433",-2.20532490640965
"Wave_1434",-1.54599915893494
"Wave_1435",-1.48606126539482
"Wave_1436",-1.54974300214386
"Wave_1437",-1.42791262964715
"Wave_1438",-1.37688907001456
