"","SAMPLE_dN15.14.comps"
"Wave_1482",0.577684422177777
"Wave_1483",0.270431160424362
"Wave_1484",0.0262357708019043
"Wave_1485",-0.0881998776558189
"Wave_1486",-0.634141802288085
"Wave_1487",-0.991773961411664
"Wave_1488",-0.803486063388496
"Wave_1489",-1.06062141550298
"Wave_1490",-1.32362901579268
"Wave_1491",-1.31863609969249
"Wave_1492",-1.65991893142046
"Wave_1493",-2.06426864880725
"Wave_1494",-2.23092600351205
"Wave_1495",-2.15036498472248
"Wave_1496",-2.45335934454406
"Wave_1497",-3.11602129927794
"Wave_1498",-3.32910130240077
"Wave_1499",-3.46907630642147
"Wave_1500",-3.69737364411553
"Wave_1501",-3.85026522617072
"Wave_1502",-4.10556581059639
"Wave_1503",-4.38493139719227
"Wave_1504",-4.64263823776124
"Wave_1505",-4.68382700143196
"Wave_1506",-4.56351180630159
"Wave_1507",-4.74601495296867
"Wave_1508",-5.0705203499941
"Wave_1509",-5.09586809273199
"Wave_1510",-5.16315214924486
"Wave_1511",-5.45883734409735
"Wave_1512",-5.78028006414239
"Wave_1513",-6.24327273117372
"Wave_1514",-6.80521854630798
"Wave_1515",-7.20734856018029
"Wave_1516",-7.54438915546028
"Wave_1517",-7.55244619692857
"Wave_1518",-7.28966446534901
"Wave_1519",-7.42668265795412
"Wave_1520",-7.51893839394265
"Wave_1521",-7.40314583625628
"Wave_1522",-7.3816478257389
"Wave_1523",-7.55487304204107
"Wave_1524",-7.57118428940656
"Wave_1525",-7.57769433785931
"Wave_1526",-8.06420752349735
"Wave_1527",-8.23578983718786
"Wave_1528",-7.85454252325411
"Wave_1529",-7.53644099804448
"Wave_1530",-7.37840052271852
"Wave_1531",-7.35802237582906
"Wave_1532",-7.24623562995238
"Wave_1533",-7.00771571273382
"Wave_1534",-7.0122345480233
"Wave_1535",-6.78537034708832
"Wave_1536",-5.8936618199488
"Wave_1537",-5.67348528870624
"Wave_1538",-6.122246941117
"Wave_1539",-6.09791174906967
"Wave_1540",-5.77950134404222
"Wave_1541",-5.80594466725636
"Wave_1542",-6.08310457190561
"Wave_1543",-5.9529803965614
"Wave_1544",-5.60229455741842
"Wave_1545",-5.55455680333853
"Wave_1546",-5.4449896729909
"Wave_1547",-5.13085134732699
"Wave_1548",-4.85332341465751
"Wave_1549",-4.88834863758421
"Wave_1550",-5.03310350847565
"Wave_1551",-5.03762079043447
"Wave_1552",-5.19064685006574
"Wave_1553",-5.48841001789508
